path,authority_status,analysis_role,code,severity,blocks_final_run,message
project_control/MIMIC_LABEVENTS_TRUNCATION_AUDIT_V1.sql,SUPERSEDED,historical,LAB_AVAILABILITY_MISSING,warning,False,"raw 实验室查询缺少 GREATEST(charttime, COALESCE(storetime, charttime)) 可用时间。"
project_control/MIMIC_LABEVENTS_TRUNCATION_AUDIT_V1.sql,SUPERSEDED,historical,LAB_CATEGORY_CONTRACT_MISSING,warning,False,raw 实验室查询缺少精确 category 合同。
project_control/MIMIC_LABEVENTS_TRUNCATION_AUDIT_V1.sql,SUPERSEDED,historical,LAB_FLUID_CONTRACT_MISSING,warning,False,raw 实验室查询缺少精确 fluid 合同。
project_control/MIMIC_LABEVENTS_TRUNCATION_AUDIT_V1.sql,SUPERSEDED,historical,LAB_FUZZY_METADATA_SELECTION,warning,False,名称或元数据模糊匹配不能用于正式实验室纳入。
project_control/MIMIC_LABEVENTS_TRUNCATION_AUDIT_V1.sql,SUPERSEDED,historical,LAB_LANDMARK_GATE_MISSING,warning,False,raw 实验室查询未把 availability_time 与登记的 landmark/T12 比较。
project_control/MIMIC_LABEVENTS_TRUNCATION_AUDIT_V1.sql,SUPERSEDED,historical,LAB_SPECIMEN_CONTRACT_MISSING,warning,False,raw 实验室查询缺少 specimen_id × itemid 聚合前重复隔离。
project_control/MIMIC_LABEVENTS_TRUNCATION_AUDIT_V1.sql,SUPERSEDED,historical,LAB_UNIT_CONTRACT_MISSING,warning,False,raw 实验室查询缺少单位 allowlist 与未知单位分流。
sql_v3/audits/093_pre_t0_ahf_definition_audit.sql,LEGACY_BLOCKED,historical,LAB_AVAILABILITY_MISSING,warning,False,"raw 实验室查询缺少 GREATEST(charttime, COALESCE(storetime, charttime)) 可用时间。"
sql_v3/audits/093_pre_t0_ahf_definition_audit.sql,LEGACY_BLOCKED,historical,LAB_CATEGORY_CONTRACT_MISSING,warning,False,raw 实验室查询缺少精确 category 合同。
sql_v3/audits/093_pre_t0_ahf_definition_audit.sql,LEGACY_BLOCKED,historical,LAB_FLUID_CONTRACT_MISSING,warning,False,raw 实验室查询缺少精确 fluid 合同。
sql_v3/audits/093_pre_t0_ahf_definition_audit.sql,LEGACY_BLOCKED,historical,LAB_LANDMARK_GATE_MISSING,warning,False,raw 实验室查询未把 availability_time 与登记的 landmark/T12 比较。
sql_v3/audits/093_pre_t0_ahf_definition_audit.sql,LEGACY_BLOCKED,historical,LAB_SPECIMEN_CONTRACT_MISSING,warning,False,raw 实验室查询缺少 specimen_id × itemid 聚合前重复隔离。
sql_v3/audits/093_pre_t0_ahf_definition_audit.sql,LEGACY_BLOCKED,historical,LAB_UNIT_CONTRACT_MISSING,warning,False,raw 实验室查询缺少单位 allowlist 与未知单位分流。
sql_v3/executable/061A_create_ahf_evidence_table_12h.sql,LEGACY_BLOCKED,historical,LAB_AVAILABILITY_MISSING,warning,False,"raw 实验室查询缺少 GREATEST(charttime, COALESCE(storetime, charttime)) 可用时间。"
sql_v3/executable/061A_create_ahf_evidence_table_12h.sql,LEGACY_BLOCKED,historical,LAB_CATEGORY_CONTRACT_MISSING,warning,False,raw 实验室查询缺少精确 category 合同。
